codigo_bps;desc;quant;und;valor_unit;valor_total
BR0363597;"PERMETRINA, CONCEN-
TRAÇÃO: 50 MG,ML, 
FORMA FARMACEU-
TICA: LOÇÃO - FRASCO 
60ML.";18720;Frasco;R$          3,0482;R$ 57.062,30
BR0267773;"PERMETRINA, DOSA-
GEM: 10 MG,ML, INDI-
CAÇÃO: LOÇÃO- FRASCO 
60ML.";15600;Frasco;R$          2,0746;R$ 32.363,76
BR0233632;"PETROLATO, ASPECTO 
FÍSICO: LÍQUIDO, TIPO: 
LAXATIVO, USO: ORAL- 
FRASCO 100ML.";14400;Frasco;R$          3,4384;R$ 49.512,96
BR0448594;"PREDNISOLONA, COM-
POSIÇÃO: FOSFATO SÓ-
DICO, CONCENTRAÇÃO: 
1 MG,ML, FORMA FAR-
MACEUTICA: SOLUÇÃO 
ORAL - FRASCO 100ML.";9360;Frasco;R$          7,2263;R$ 67.638,17
BR0448595;"PREDNISOLONA, COM-
POSIÇÃO: FOSFATO SÓ-
DICO, CONCENTRAÇÃO: 
3 MG,ML, FORMA FAR-
MACEUTICA: SOLUÇÃO 
ORAL - FRASCO 100ML.";14040;Frasco;R$          7,5572;R$ 106.103,09
BR0267743;"PREDNISONA, DOSA-
GEM: 20 MG";405600;Comprimido;R$          0,1505;R$ 61.042,80
BR0267741;"PREDNISONA, DOSA-
GEM: 5 MG";187200;Comprimido;R$          0,0760;R$ 14.227,20
BR0269571;"PROMETAZINA CLORI-
DRATO, DOSAGEM: 25 
MG";936000;Comprimido;R$          0,1325;R$ 124.020,00
BR0267769;"PROMETAZINA CLORI-
DRATO, DOSAGEM: 25 
MG,ML, APRESENTA-
ÇÃO: SOLUÇÃO INJETÁ-
VEL - AMPOLA 2ML.";936;Ampola;R$          2,1627;R$ 2.024,29
BR0267772;"PROPRANOLOL CLORI-
DRATO, DOSAGEM: 40 
MG";546000;Comprimido;R$          0,0342;R$ 18.673,20
BR0269571;"PROXIMETACAÍNA 
5MG/ML  - FRASCO 5ML";144;Frasco;R$        11,0310;R$ 1.588,46
BR0303292;"RINGER, COMPOSIÇÃO: 
ASSOCIADO COM LAC-
TATO DE SÓDIO, 
FORMA FARMACÊU-
TICA: SOLUÇÃO INJETÁ-
VEL, CARACTERÍSTICA 
ADICIONAL: SISTEMA 
FECHADO - 500ML.";1560;Frasco/Bolsa;R$          6,1423;R$ 9.581,99
BR0268390;"SAIS PARA REIDRATA-
ÇÃO ORAL, COMPOSI-
ÇÃO: SÓDIO, POTÁSSIO, 
CLORETO, CITRATO E 
GLICOSE, CONCENTRA-
ÇÃO: 90 MEQ,L + 20 
MEQ,L + 80 MEQ,L + 30 
MEQ,L + 111 MMOL,L, 
FORMA FARMACÊU-
TICA: PÓ P, SOLUÇÃO 
ORAL.";40560;Envelope;R$          0,8989;R$ 36.459,38
BR0292331;"SALBUTAMOL, DOSA-
GEM: 0,4 MG,ML, 
FORMA FARMACÊU-
TICA: XAROPE - FRASCO 
100ML.";12480;Frasco;R$          1,6130;R$ 20.130,24
BR0294887;"SALBUTAMOL, DOSA-
GEM: 100MCG,DOSE, 
FORMA FARMACÊU-
TICA: AEROSOL ORAL - 
200 DOSES.";25920;Aerossol;R$          2,5087;R$ 65.025,50
BR0267746;"SINVASTATINA, DOSA-
GEM: 10 MG";280800;Comprimido;R$          0,0632;R$ 17.746,56
BR0267747;"SINVASTATINA, DOSA-
GEM: 20 MG";1170000;Comprimido;R$          0,0770;R$ 90.090,00
BR0267745;"SINVASTATINA, DOSA-
GEM: 40 MG";936000;Comprimido;R$          0,1383;R$ 129.448,80
BR0267765;SULFADIAZINA  500MG;12000;Comprimido;R$          0,4024;R$ 4.828,80
BR0272089;"SULFADIAZINA, PRINCÍ-
PIO ATIVO: DE PRATA, 
DOSAGEM: 1%, INDICA-
ÇÃO: CREME -BISNAGA 
30G.";6000;Bisnaga;R$          4,6573;R$ 27.943,80
BR0272089;"SULFADIAZINA, PRINCÍ-
PIO ATIVO: DE PRATA, 
DOSAGEM: 1%, INDICA-
ÇÃO: CREME -POTE 
500G.";1404;Pote;R$        36,1875;R$ 50.807,25
BR0308882;"SULFAMETOXAZOL, 
COMPOSIÇÃO: ASSOCI-
ADO À TRIMETOPRIMA, 
CONCENTRAÇÃO: 
400MG + 80MG";187200;Comprimido;R$          0,1982;R$ 37.103,04
BR0308884;"SULFAMETOXAZOL, 
COMPOSIÇÃO: ASSOCI-
ADO À TRIMETOPRIMA, 
CONCENTRAÇÃO: 40MG 
+ 8MG,ML, FORMA FAR-
MACÊUTICA: SUSPEN-
SÃO ORAL. - FRASCO 
60ML.";10800;Frasco;R$          5,4759;R$ 59.139,72
BR0268076;"SULFATO DE MAGNÉ-
SIO, CONCENTRAÇÃO: 
10%, USO: SOLUÇÃO IN-
JETÁVEL - 10ML.";480;Ampola;R$          1,3945;R$ 669,36
BR0268075;"SULFATO DE MAGNÉ-
SIO, CONCENTRAÇÃO: 
50%, USO: SOLUÇÃO IN-
JETÁVEL- 10ML.";720;Ampola;R$          6,7626;R$ 4.869,07
BR0396947;"SULFATO FERROSO, 
CONCENTRAÇÃO: 10 
MG,ML DE FERRO ELE-
MENTAR, FORMA FAR-
MACEUTICA: XAROPE - 
FRASCO 100ML. """;12480;Frasco;R$          4,4578;R$ 55.633,34
BR0292345;"SULFATO FERROSO, DO-
SAGEM FERRO: 
25MG,ML DE FERRO II, 
FORMA FARMACÊU-
TICA: SOLUÇÃO ORAL-
GOTAS - FRASCO 30ML.";6240;Frasco;R$          1,0539;R$ 6.576,34
BR0292344;"SULFATO FERROSO, DO-
SAGEM FERRO: 40MG 
DE FERRO II";936000;Comprimido;R$          0,0345;R$ 32.292,00
BR0272341;"TIAMINA, DOSAGEM: 
300 MG";108000;Comprimido;R$          0,2097;R$ 22.647,60
BR0272581;"TIMOLOL 5% - FRASCO 
5ML";14400;Frasco;R$          3,3788;R$ 48.654,72
BR0274561;"TROPICAMIDA 
10MG/ML- FRASCO 5ML";288;Frasco;R$        13,2582;R$ 3.818,36
BR0279269;"VARFARINA SÓDICA, 
DOSAGEM: 5 MG";60000;Comprimido;R$          0,1736;R$ 10.416,00
BR0267425;VERAPAMIL 80MG;48000;Comprimido;R$          0,2488;R$ 11.942,40
BR0437109;"VITAMINAS DO COM-
PLEXO B, COMPOSIÇÃO 
BÁSICA: B1, B2, B3, B5, 
B6, B12";234000;Comprimido;R$          0,0394;R$ 9.219,60
BR0278483;"VITAMINAS DO COM-
PLEXO B, COMPOSIÇÃO 
BÁSICA: B1, B2, B3, B5, 
B6, B12 L- FRASCO 
100ML";12480;Frasco;R$          3,4182;R$ 42.659,14
BR0272091;"VITAMINAS DO COM-
PLEXO B, COMPOSIÇÃO 
BÁSICA: VITAMINAS: 
B1,B2,B6,B12 E PP, USO: 
SOLUÇÃO INJETÁVEL - 
AMPOLA 2ML.";1440;Ampola;R$          2,2565;R$ 3.249,36
