catmat;desc;und;quant;valor_unit;valor_total
268331;"IPRATRÓPIO 
– 
BROMETO 
concentração/dosagem 
0,25 
mg/mL, 
forma farmacêutica Solução inalante, via 
de administração inalatória.";FRASCO 20 mL;113110;R$ 1,08;122158,8
376767;"IVERMECTINA concentração/dosagem 6 
mg, forma farmacêutica Comprimido, via 
de administração oral.";COMPRIMIDO;687870;R$ 0,40;275148
273466;"LORATADINA 
concentração/dosagem 
10mg,  forma  farmacêutica  Comprimido, 
via de administração oral.";COMPRIMIDO;1157520;R$ 0,07;81026,4
267691;"METFORMINA 
– 
CLORIDRATO 
concentração/dosagem  850  mg,  forma 
farmacêutica 
Comprimido, 
via 
de 
administração oral.";COMPRIMIDO;23969120;R$ 0,10;2396912
267310;"METOCLOPRAMIDA 
– 
CLORIDRATO  
concentração/dosagem 5 mg/mL,  forma 
farmacêutica  Solução 
injetável,  via  de 
administração parenteral.";AMPOLA 2 mL;359345;R$ 0,64;229980,8
372335;"METRONIDAZOL 
concentração/dosagem 100 mg/g, forma 
farmacêutica 
Gel 
vaginal, 
via 
de 
administração 
tópica/vaginal, 
com 
aplicador.";BISNAGA 50 g;225605;R$ 6,19;1396494,95
268267;"MICONAZOL 
– 
NITRATO 
concentração/dosagem  20mg/g, 
forma 
farmacêutica 
Loção, 
via 
de 
administração tópica.";FRASCO 30 mL;163755;R$ 3,70;605893,5
448808;"NORETISTERONA  
concentração/dosagem  0,35  mg,  forma 
farmacêutica  Blister  calendário,  via  de 
administração oral.";BLISTER;79800;R$ 6,41;511518
267712;"OMEPRAZOL concentração/dosagem 20 
mg, forma farmacêutica Cápsula, via de 
administração oral.";CÁPSULA;9084300;R$ 0,06;545058
270229;"POLIMIXINA 
B, 
COMPOSIÇÃO:ASSOCIADA 
COM 
NEOMICINA, 
FLUOCINOLONA 
E 
LIDOCAÍNA, CONCENTRAÇÃO:11.000UI 
+ 
3,85MG 
+ 
0,275MG 
+ 
20MG/ML, 
USO:SOLUÇÃO OTOLÓGICA";"FRASCO 5,00 
ML";26550;R$ 5,11;135670,5
267769;"PROMETAZINA 
– 
CLORIDRATO 
concentração/dosagem 
25 
mg/mL, 
forma 
farmacêutica  Solução 
injetável, 
via de administração parenteral.";AMPOLA 2 mL;1207500;R$ 2,20;2656500
274918;"RETINOL, 
COMPOSIÇÃO:ASSOCIADO 
C/AMINOÁCIDOS+ 
METIONINA+ 
CLORANFENICOL, 
CONCENTRAÇÃO:10.000UI  +  25MG  + 
5MG  +  5MG/G,  APLICAÇÃO:POMADA 
OFTÁLMICA";BISNAGA 3,50 G;1770;R$ 11,69;20691,3
303292;"RINGER+LACTATO  DE  SÓDIO, 
forma 
farmacêutica  Solução 
injetável,  via  de 
administração parenteral.";FRASCO 500 ML;214320;R$ 6,07;1300922,4
412966;"SIMETICONA concentração/dosagem 75 
mg/mL, 
forma 
farmacêutica  Solução 
Oral (Gotas), via de administração oral";FRASCO 15 mL;247300;R$ 1,77;437721
267746;"SINVASTATINA  concentração/dosagem 
10mg,  forma  farmacêutica  Comprimido, 
via de administração oral.";COMPRIMIDO;919100;R$ 0,07;64337
267745;"SINVASTATINA  concentração/dosagem 
40mg,  forma  farmacêutica  Comprimido, 
via de administração oral.";COMPRIMIDO;8707892;R$ 0,15;1306183,8
308884;"SULFAMETOXAZOL  +  TRIMETOPRIMA 
concentração/dosagem 
40  mg 
+ 
8 
mg/mL,  forma  farmacêutica  Suspensão 
oral, via de administração oral.";FRASCO 100 mL;1811720;R$ 4,53;8207091,6
292344;"SULFATO 
FERROSO 
concentração/dosagem  40  mg  de  Ferro 
II,  forma  farmacêutica  Comprimido,  via 
de administração oral.";COMPRIMIDO;6586400;R$ 0,03;197592
332468;"SULFATO 
FERROSO 
concentração/dosagem 5 mg/mL,  forma 
farmacêutica 
Xarope, 
via 
de 
administração oral.";FRASCO 100 mL;86420;R$ 2,68;231605,6
272581;"TIMOLOL 
– 
MALEATO 
concentração/dosagem  5mg/mL,  forma 
farmacêutica 
Colírio, 
via 
de 
administração tópica/ocular.";FRASCO 5 mL;23610;R$ 2,83;66816,3
328529;"VALPROATO  DE  SÓDIO 
ou  ÁCIDO 
VALPRÓICO 
concentração/dosagem 
288  mg(equivalente 
a 
250mg  Ácido 
valpróico),forma 
farmacêutica  Cápsula 
ou  Comprimido,  via  de  administração 
oral.";"CÁPSULA OU 
COMPRIMIDO";2472100;R$ 0,32;791072
328532;"VALPROATO  DE  SÓDIO 
ou  ÁCIDO 
VALPRÓICO  concentração/dosagem  50 
mg 
de 
Ácido 
valpróico/mL 
,forma 
farmacêutica 
Xarope, 
via 
de 
administração oral.";FRASCO 100 mL;166750;R$ 4,06;677005
